ID,Storage,Lego ID,Description,Condition,Qty,Price,Total Value
15900,"U-N5",3848,"Minifigure, Weapon Axe, Halberd",Used,1,0.26,0.26
7258,"U-O4",87993,"Minifigure, Weapon Space Ray Gun",Used,1,0.26,0.26
10732,"U-302-7",973pb2610c01,"Torso Ninjago Metallic Silver Armor with Clock and Large Red Snake with White Fangs on Back Pattern / Red Arms / Dark Bluish Gray Hands",Used,1,0.25,0.25
9584,"U-304-16",18787,"Minifigure, Weapon Sword Pixelated (Minecraft)",Used,1,0.25,0.25
10733,"U-A34-1",973pb2610c01,"Torso Ninjago Metallic Silver Armor with Clock and Large Red Snake with White Fangs on Back Pattern / Red Arms / Dark Bluish Gray Hands",Used,1,0.25,0.25
14953,"U-BIO-D",92204,"Hero Factory Face Shield with Saw Blade",Used,1,0.25,0.25
8830,"U-BIO-F",11271,"Hero Factory Full Torso Armor with 4 Handles",Used,1,0.25,0.25
8829,"U-BIOA-14",11271,"Hero Factory Full Torso Armor with 4 Handles",Used,1,0.25,0.25
8832,"U-D2-4",11271,"Hero Factory Full Torso Armor with 4 Handles",Used,1,0.25,0.25
9586,"U-E26",18787,"Minifigure, Weapon Sword Pixelated (Minecraft)",Used,1,0.25,0.25
9582,"U-H11",18787,"Minifigure, Weapon Sword Pixelated (Minecraft)",Used,1,0.25,0.25
17969,"U-P4",973pb2610c01,"Torso Ninjago Metallic Silver Armor with Clock and Large Red Snake with White Fangs on Back Pattern / Red Arms / Dark Bluish Gray Hands",Used,1,0.25,0.25
18194,"U-P8",973pb2610c01,"Torso Ninjago Metallic Silver Armor with Clock and Large Red Snake with White Fangs on Back Pattern / Red Arms / Dark Bluish Gray Hands",Used,1,0.25,0.25
18276,"U-P10",13754,"Container, Faceted 4 x 4 x 1 2/3, Alien Pod Section",Used,1,0.24,0.24
10948,"U-A34-2",970c00pb0708,"Hips and Legs with White Zori Sandals Pattern",Used,1,0.23,0.23
18025,"U-P5",970c00pb0708,"Hips and Legs with White Zori Sandals Pattern",Used,1,0.23,0.23
22054,"U-308-3",4497,"Minifigure, Weapon Pike / Spear - Handle with Round End",Used,1,0.22,0.22
25149,"U-309-7",41531pb014,"Cylinder 4 x 4 x 1 2/3 with Pin Holes and Center Bar with White 'A.I.M.' Pattern (Sticker) - Set 76164",Used,2,0.11,0.22
7488,"U-H6",92585,"Minifigure, Utensil Tool Crowbar",Used,1,0.22,0.22
9928,"U-N7",18034,"Minifigure, Weapon Sword, Roman Gladius with Thick Crossguard",Used,1,0.22,0.22
24124,"U-R7",4497,"Minifigure, Weapon Pike / Spear - Handle with Round End",Used,1,0.22,0.22
7974,"U-BIO-K",92233,"Hero Factory Hand Armor with Handles for Clips",Used,1,0.21,0.21
9658,"U-M6-2",973pb1828,"Torso SW Armor Stormtrooper, Detailed Armor without Shoulder Belts, Dark Bluish Gray Markings Pattern",Used,1,0.21,0.21
16273,"N-C29",69767,"Minifigure, Weapon Bazooka, Mini Blaster / Shooter",New,2,0.10,0.20
308,"U-304-13",2570,"Minifigure, Weapon Crossbow",Used,1,0.20,0.20
6164,"U-304-16",58247,"Minifigure, Weapon Gun, Blaster SW Standard",Used,1,0.20,0.20
307,"U-B45",2570,"Minifigure, Weapon Crossbow",Used,1,0.20,0.20
7702,"U-BIOB-9",90638,"Hero Factory Armor with Ball Joint Socket - Size 6",Used,1,0.20,0.20
